Dealer Name,Dealer Code,Town Name,Purchase Order Number,Order Date,Order Status,Order Subtype,Product Category,Part Number,Product Description,Order Quantity,Order Value,Supplier Code,Invoice Date,Invoice Quantity,Invoice Value,GRN Invoice Number,GRN Invoice Date
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,12200AAF400S,"""HEAD COMP., CYLINDER""",1,2376.23,30008,08-06-2024,1,2143.84,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,13000KWS900S,CRANK SHAFT COMP.,1,4111.41,30008,08-06-2024,1,3738.68,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,14711KWB600S,VALVE INLET,1,79.62,30008,08-06-2024,1,71.83,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,14721KVY900S,VALVE EXHAUST,1,227.36,30008,08-06-2024,1,205.13,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,3310AKZAW01S,LIGHT ASSY. HEAD,1,654.49,30008,08-06-2024,1,595.15,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,61300KZAW00ZCS,FRONT VISOR(NH-1 TYPE-3),1,709.99,30008,08-06-2024,1,640.56,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,77240KZAW00ZCS,R SIDE COWL(BLK NH-1 (TY-3),1,615.6,30008,08-06-2024,1,555.4,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,77250KZAW00ZCS,L SIDE COWL(BLK NH-1 (TY-3),1,615.6,30008,08-06-2024,1,555.4,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,77280KZAW00ZCS,CENTER REAR. COWL(BLACK NH1(TYPE-3),1,82.08,30008,08-06-2024,1,74.05,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,83500KZAW00ZCS,R SIDE COVER(BLK NH1(TY-3),1,583.59,30008,08-06-2024,1,526.52,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,83550KZAW00S,R SIDE SUB,1,94.39,30008,08-06-2024,1,85.16,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,83600KZAW00ZCS,L SIDE COVER(BLK NH1(TY-3),1,583.59,30008,08-06-2024,1,526.52,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,83650KZAW00S,L SIDE SUB,1,82.08,30008,08-06-2024,1,74.05,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-304,08-03-2024,SO Generated,VOR,HHML Parts,K12121KZAAW00S,"KIT, CYLINDER",1,1641.61,30008,08-06-2024,1,1481.06,11885-03-PGRN-0824-403,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,11395AAH000S,GASKET L CRANK CASE COVER,5,292.2,30008,08-03-2024,5,265.7,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,11395ACK01099S,GASKET L CRANK CASE COVER,15,563.55,30008,08-03-2024,15,512.4,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12100AAN410S,CYLINDER COMP.,1,1969.93,30008,08-03-2024,1,1777.28,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12100ABG000S,CYLINDER,2,2864.6,30008,08-03-2024,2,2584.46,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12209AAN410S,SEAL VALVE STEM,10,267.1,30008,08-03-2024,10,242.9,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12361035000S,HOLE CAP TAP.ADJST.,6,145.26,30008,08-03-2024,6,132.06,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12391AAH00099S,GASKET CYL HEAD COVER,5,29.2,30008,08-03-2024,5,26.55,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12391AAT00099S,GASKET CYLINDER HEAD COVER,5,104.35,30008,08-03-2024,5,94.9,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12394AAT00099S,GASKET CYLINDER HEAD R SIDE COVER,5,62.6,30008,08-03-2024,5,56.95,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,12395AAH00099S,GASKET CYL HEAD L SIDE COVER,10,125.2,30008,08-03-2024,10,113.9,11885-03-PGRN-0824-396,08-09-2024
11885 - AMAN AUTOMOTIVES,11885,GHAZIABAD,11885-03-PLPO-0824-307,08-03-2024,SO Generated,STD,HHML Parts,13000AAF400S,CRANK SHAFT COMP.,1,3798.36,30008,08-03-2024,1,3454.01,11885-03-PGRN-0824-396,08-09-2024
